GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34021","Mercer, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1368555,1502265,1651657,1837479,2029946,2223435,2382116,2597306,2825891,3093629,3378784,3746850,4147565,4513014,4825373,5346405,5761857,6206379,6729160,7487965,8156106,8697032,8868792,9517817,9693836,10025467,10504224,11045714,11650321,12452994,13054934,14425893,15842725,16345592,16828665,17071208,17513312,18761110,19735514,20306954,19028940,19464859,20555289,21639086,21249404,22692372,23116728,23505369,24070276,25154573,26529544,27842874,30065659
 "34021","Mercer, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",305795,305091,308680,314505,315209,317113,315506,313004,311427,311764,309998,307796,306944,307882,311052,311067,314133,318557,322280,326162,326246,326477,328694,330674,333292,335229,337476,339146,340755,344013,348435,351465,353816,355935,358724,361248,362015,362840,363088,364119,365388,368192,369792,372950,375805,377236,378400,380010,382551,384767,386045,386759,385898
 "34021","Mercer, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4475,4924,5351,5842,6440,7011,7550,8298,9074,9923,10899,12173,13512,14658,15513,17187,18342,19483,20880,22958,25000,26639,26982,28783,29085,29906,31126,32569,34190,36199,37467,41045,44777,45923,46913,47256,48377,51706,54355,55770,52079,52866,55586,58021,56544,60154,61091,61855,62920,65376,68721,71990,77911
 "34023","Middlesex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2526080,2806898,3060663,3362182,3710865,4086145,4432873,4795994,5282023,5859199,6461100,7208353,8063810,8761533,9445047,10472553,11224255,12065664,13092771,14452994,15458826,16426474,16905300,17844090,18447007,19139027,20237426,21402915,22987666,24611746,25733351,28114155,28974767,29133012,29751793,30911482,31886586,34046859,36302706,37941526,36667197,38197636,41259864,43476310,42828760,44101069,45023158,46390207,47925718,50112405,52875245,55955439,60446686
 "34023","Middlesex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",572957,585432,592647,594745,594391,594340,588224,586217,586812,590679,594566,597117,600871,606421,615275,622126,633428,644175,654415,662448,669365,673469,679273,686901,693445,701090,709223,716673,725103,733257,742213,752880,761770,769280,775973,781582,787329,786890,792137,799191,805204,811757,820019,828038,834359,840817,845898,849661,855334,857962,860602,861908,860807
 "34023","Middlesex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4409,4795,5164,5653,6243,6875,7536,8181,9001,9919,10867,12072,13420,14448,15351,16833,17720,18730,20007,21818,23095,24391,24887,25978,26602,27299,28535,29864,31703,33565,34671,37342,38036,37870,38341,39550,40500,43268,45829,47475,45538,47056,50316,52505,51331,52450,53225,54598,56032,58409,61440,64920,70221
 "34025","Monmouth, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2030050,2218998,2478198,2721549,3014838,3266621,3552961,3861778,4257757,4830366,5499510,6276578,7028525,7622804,8206405,9157264,9912211,10770971,11746978,12980490,13905230,14492712,14882290,16191831,16964124,17434492,18590426,19759551,21290375,23022918,24338259,27146600,28662880,28881692,29546800,31281569,32703294,35214640,37435325,37888962,35837484,36326976,38094737,39689975,40108810,42214039,44170839,45527740,47261758,49328163,53031401,55330855,59449633
 "34025","Monmouth, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",450967,463929,472513,478160,480882,484752,491362,490778,492553,496807,499816,504007,506379,510213,513195,520276,528986,538786,549116,553300,552161,554210,558418,565469,571129,577069,583899,589646,596520,603050,610811,616849,620563,624532,627413,628605,627838,626934,626644,627348,628669,631077,632265,633302,635081,636185,637266,638630,640181,641398,642703,643163,645354
 "34025","Monmouth, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4502,4783,5245,5692,6269,6739,7231,7869,8644,9723,11003,12453,13880,14940,15991,17601,18738,19991,21393,23460,25183,26150,26651,28634,29703,30212,31838,33511,35691,38177,39846,44009,46189,46245,47093,49763,52089,56170,59739,60395,57005,57563,60251,62671,63155,66355,69313,71290,73826,76907,82513,86029,92119
 "34027","Morris, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1909090,2067308,2240163,2463962,2712626,2942500,3191655,3514728,3905634,4400266,4942997,5632594,6377040,6952819,7606959,8513390,9181939,9925308,10806449,11947887,12854566,13288637,13554200,14742773,15699601,16151846,17672367,19017216,20392925,22213235,23346502,26419049,26503206,26573986,27474192,28892798,30217606,32507478,34793916,35993079,34450138,36504515,38041903,39578700,40192866,41714069,43649092,45061008,46268614,48073564,49693049,51214074,55067035
 "34027","Morris, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",376544,384657,390006,392740,396303,393839,394506,394397,399198,403588,406191,408201,409707,412302,414949,418711,419190,420439,421077,422756,421936,421803,423470,427343,432906,439533,445308,450816,456961,462263,467678,471326,473515,477234,481000,483997,485472,487486,488355,489743,490779,493069,497046,499681,501921,502599,503840,505108,507090,507977,508244,509001,510981
 "34027","Morris, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5070,5374,5744,6274,6845,7471,8090,8912,9784,10903,12169,13799,15565,16863,18332,20332,21904,23607,25664,28262,30466,31504,32007,34499,36266,36748,39686,42184,44627,48053,49920,56053,55971,55683,57119,59696,62244,66684,71247,73494,70195,74035,76536,79208,80078,82997,86633,89211,91243,94637,97774,100617,107767
 "34029","Ocean, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",780397,893124,1036412,1212448,1424771,1605076,1806258,2075146,2337768,2667218,3072649,3592084,4067564,4449171,4928820,5605271,6165234,6743576,7341247,8038587,8697169,9099843,9462281,9907457,10427414,10964388,11573880,12241260,13123293,13996084,14634899,16072584,17475016,18208305,18792471,19163235,19917460,21133306,22524508,23193002,22750494,23254020,24230726,25038416,25354925,26419644,27757961,28864039,30020667,31195897,33590289,36305207,39474190
 "34029","Ocean, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",199210,211870,225757,249249,268705,282057,293486,305528,319184,331201,341856,348008,355224,361059,367106,376310,387772,400987,411850,422100,429207,434623,439530,444676,452916,461152,471243,480608,488519,497395,504007,513608,523357,536069,545093,551262,556012,561302,565356,569485,573123,578145,581791,585202,589695,594461,599535,605902,612833,621529,630036,638824,648998
 "34029","Ocean, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3917,4215,4591,4864,5302,5691,6154,6792,7324,8053,8988,10322,11451,12323,13426,14895,15899,16817,17825,19044,20263,20937,21528,22280,23023,23776,24560,25470,26863,28139,29037,31293,33390,33966,34476,34762,35822,37651,39841,40726,39696,40222,41649,42786,42997,44443,46299,47638,48987,50192,53315,56831,60823
 "34031","Passaic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2038067,2192038,2320844,2495348,2671646,2859891,3060641,3290329,3574440,3930041,4309102,4824426,5316495,5687852,6182318,6715136,7119136,7566717,8047643,8742273,9357214,9721957,9950441,10416613,10773769,11079687,11687810,12113617,12998208,13468248,14061915,15190072,15637929,15829503,16037707,16417383,17139661,18093456,18946640,19499799,19363555,20049328,20764400,21101671,21430548,22655008,23232805,23497638,23827339,24795253,26364032,28516392,30858408
 "34031","Passaic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",460958,461140,463920,463077,461609,458868,455311,450718,453311,449670,449914,448451,451059,452673,454101,456534,458946,460696,460716,460093,456332,470951,470946,472484,475951,478164,479717,481892,484283,485760,488131,490733,493252,494571,494915,493981,493600,492730,492886,494904,498641,502569,506068,508610,511165,514122,516483,518211,520923,521979,522882,523100,518117
 "34031","Passaic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4421,4754,5003,5389,5788,6232,6722,7300,7885,8740,9578,10758,11787,12565,13614,14709,15512,16425,17468,19001,20505,20643,21129,22046,22636,23171,24364,25138,26840,27726,28808,30954,31704,32007,32405,33235,34724,36721,38440,39401,38833,39894,41031,41489,41925,44065,44983,45344,45741,47502,50421,54514,59559
 "34033","Salem, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",242949,263889,280085,304193,337175,374222,395562,437411,482384,535142,578493,623405,692001,768263,833989,914470,1015277,1003303,1012516,1104284,1194729,1274777,1306912,1387602,1387372,1433358,1497948,1573266,1617429,1645664,1689165,1768111,1873715,1947439,2023813,2156582,2222138,2352085,2453030,2597908,2607185,2668202,2753260,2686537,2695189,2727959,2840690,2852922,2891070,2986614,3154977,3433388,3743184
